title,author,googleid,goodreads_id,start date,end date,read status,rating,pages,thumbnail_url
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,XLo9DgAAQBAJ,1842,2020/06/30,,read,3,498.0,http://books.google.com/books/publisher/content?id=XLo9DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72qZfKrskShYMzBPA-wGW8MCtIw80R3fKxt_Bb520e4S6fcT0sjKag60UuJpsprWekBBn4foSdyyX5FTxzYL9UUiUz1rw6Bp2vwgCp2jkcSZf8MGbwI0vFSdQ_9rFJmA7Lgh7uM&source=gbs_api
The New Penguin History of The World,J.M. Roberts,Koj8JeOLgTcC,555926,2022/01/04,,read,5,1232.0,http://books.google.com/books/content?id=Koj8JeOLgTcC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71v_NArs4Rx0_W0-QiPkreg_GmhZColVHp9MvX6eJtzyyjbR3cskoKIRwfj8fyE07qkliYUYkY7z4ksQfjPvnFTPwDcMbRP_QaZrfYcSJ0VshXuxTr6Kuz17G1UioTNEZRSVx-p&source=gbs_api
One Flew Over the Cuckoo's Nest,Ken Kesey,fMRcWrzMZwYC,332613,2022/01/04,,read,4,325.0,http://books.google.com/books/content?id=fMRcWrzMZwYC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE7303W-nnYYJ43KB2eOxaGKyrI-e8W2jkhXEoKpvDttAa_PAQD5EGytcfrbREgz9AmtmVg-rZVADa6y8v-ju7fhTGkP_uFsxmSIrWUBH9k4eYaV-xzj3LiK0oT13hijCqeeITdM0&source=gbs_api
The Master and Margarita,Mikhail Bulgakov,ZSsAEAAAQBAJ,117833,2022/01/04,,read,3,372.0,http://books.google.com/books/publisher/content?id=ZSsAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE715zT5FFTWJYcEXWKlOMxYo2RlR0vvo1XAWsVVk0wccAB38x5xSNmdjGfsG6Gfu3ZLAfO4b7ghrHLpj2kXZCUIJKb35wn7FezZ1MFLg_mFo_FZFfCcZ6vWZ8MJxg7pd77YMYKwj&source=gbs_api
Mathematics and the Imagination (Dover Books on Mathematics),Edward Kasner,-bXDAgAAQBAJ,849866,2021/04/06,2021/05/03,read,3,400.0,http://books.google.com/books/publisher/content?id=-bXDAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE734XEUl6KXoBSQWkiMH9vHY6FrpmJI5jXQmG-zgd1aZ3nhHeLynk5dUXy3c_kfRELtNm3hnxLdW5CccH06_Iupqxx7UMOApLWU19BkDlckrZakaiDlKC8V8qtN5fk0fPy5QsUC6&source=gbs_api
As I Lay Dying,William Faulkner,yqxaAAAAMAAJ,77013,2020/06/30,,read,3,288.0,http://books.google.com/books/content?id=yqxaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70LII0itufdA9_Y9yG3nlFiz1zRSxOksEibtZ-IG3ilVr3JbBZokduYpN970iR1dbq1cK1V83rInP-GYRwP_tIiQYqExT7rbUDfhXBLMpPI9NpfVFRZwRiwciZq4NIW-7VsIJ45&source=gbs_api
The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,Susan Wise Bauer,HmShg3dnLSMC,225947,2022/01/08,2023/07/04,read,4,896.0,http://books.google.com/books/content?id=HmShg3dnLSMC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE739MZuVJHfhvWwyKY0dfhdRhXndvJ3CVSlxcd98LA3ou55wLy74-oS7LjYLSUSLE5Rq_kzs49-SAEeHfILW20nqMhNNbnTUZtJeYOezTnIT3l0ItdH20O8PuWsLllYBZTTNV96H&source=gbs_api
The Songlines,Bruce Chatwin,Soc0yN78SFgC,76844,2021/02/10,,read,3,304.0,http://books.google.com/books/content?id=Soc0yN78SFgC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71mzP3b5wFKvYNPaexojL1Z2Tp0K1D50E4_oV6exQ0sEIZ78Fkt4JqIZ4feGtCjDrsSLOjnX4qhssQYDkm0_jDBunz08KlRl6osRhg7OE60R-TgIlJQvtbli-L-AbFM2F31XLnW&source=gbs_api
The Picture of Dorian Gray,Oscar Wilde,w9A98UIGNMAC,5297,2021/02/10,,read,5,272.0,http://books.google.com/books/content?id=w9A98UIGNMAC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE736yEjRFGeA1GHzlKyCpIad_-PC8MmyZhfg6i1mIyiL5ljdIUIBFRXsdJ6E7Bv9_rfTspiTN97bLTtVcOJFRE43co-0WLxcT30K8i4cgNdUuP5qwqWo0rxcCtL2fHmkPp8JgUMO&source=gbs_api
Hell's Angels,Hunter S. Thompson,84o2ZGPzEVEC,10882,2021/02/10,,read,3,295.0,http://books.google.com/books/content?id=84o2ZGPzEVEC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73_Tr6iTvLlKnvEOIOW5djYy86MelT6RLdfuRs0KesEoIa9ivENVK92r0LheQXa71KrEpkvkKXzR_eNNzFYKrBOPAXgL0AFeVMJQQ7qMdATtBifwqMJdSJa7GUEtAZfKnfC0jS4&source=gbs_api
The Gulag Archipelago 1918–1956 (Abridged),Aleksandr Solzhenitsyn,T8XTswEACAAJ,70561,2021/02/10,,read,3,512.0,http://books.google.com/books/content?id=T8XTswEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73C0-G99as7QfftNxxcu9BdH7KXOoAfxy0EnwaFnBaUfT3HAltxMDnmDDa0B27y2ZqbeYYnCnvs0r6ve89xjyc20LAj1zQJTp1HZjss_CEZkI6KbztloexXlzs4OIwhKidHUmz-&source=gbs_api
The Alchemist,Paulo Coelho,FzVjBgAAQBAJ,18144590,2020/06/30,,read,3,182.0,http://books.google.com/books/publisher/content?id=FzVjBgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70Lm8thHL3tdi-NU2vJO053qQSZoYVaNV2a5ZYxr0TlR874k5WMdl5JZbeLSb-zKiYAH8evrr4_azjEjzuUBOBXBVMuR7ZxCl2AePMnfEtVWVf9v0oAEeKW46gtkH-PmkjqWe0B&source=gbs_api
The Course of Love,Alain de Botton,od0nDwAAQBAJ,27845690,2021/02/10,,read,5,240.0,http://books.google.com/books/publisher/content?id=od0nDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72r1HBziv065HgL9VAjbRUhjbxs2dfBNjzPwBrf1CEk5ZGcIm4V9jASFfPeQRbzYQlFCh5n5Q-QEn61kimJukdvKNLtMSMSWs3XxLg6IUPsPFYAb1Sb-UbolNFT6OZGfV3hAqIq&source=gbs_api
"Calm: Educate Yourself in the Art of Remaining Calm, and Learn how to Defend Yourself from Panic and Fury",The School of Life,7vL-vQAACAAJ,32486577,2021/02/10,,read,3,136.0,http://books.google.com/books/content?id=7vL-vQAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71FyIF88y3hR4aMveKIU4cG0iYwc5AK6EG9Xv949AdRLNVmc5b0D3e9fSHW37L2Oov7luCmwcJr9c0UeD95jxIWX4_V63rzK-AM-PikiLs3QBMEQwPZOeGxezvPHf_8lQGjmlJ9&source=gbs_api
The Trial,Franz Kafka,M2936BxlxqEC,17690,2022/01/05,,read,4,255.0,http://books.google.com/books/content?id=M2936BxlxqEC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71F3zIVAsQC-96oRpeLwId3vIHaSk-Mdo7rfJchHFyNwvEkREJ1ctM6BT_wjvizRBfl4MpqJNwImZZL7VRiMkL7N14VrcfHrkI4HgDcjmnh-ado-lWC-ImdU-jw6qJMXqtYr7-w&source=gbs_api
World War II for Beginners (A WRITERS AND READERS DOCUMENTARY COMIC BOOK),Errol Selkirk,3KhZAAAAYAAJ,2758136,2023/06/20,2023/06/27,read,5,176.0,http://books.google.com/books/content?id=3KhZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73QwKfdYTl4n9Rkr9S1jxscmFFzRMmyTr-Rl-g02Y2KNIHLukq0rwpgKVWzPfWgyowitElZrsszrAfGjbDX4TkYGpefgm72HbBrMLNbVoT7Ie1o_yCmm6kl7mdevfCCwMisfGbN&source=gbs_api
History of the Ancient World: A Global Perspective (The Great Courses),Gregory S. Aldrete,,25692796,2023/06/12,2023/06/23,read,4,24.0,Error fetching thumbnail for 'History of the Ancient World: A Global Perspective (The Great Courses)'
Calling Bullshit: The Art of Skepticism in a Data-Driven World,Carl T. Bergstrom,w2jMDwAAQBAJ,48889983,2022/01/12,2022/09/06,read,5,336.0,http://books.google.com/books/publisher/content?id=w2jMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71o4KUT68u0NdBFxib5MQCoXfmT6SGI0kSmjKXm8ca-TCLT9w_qPx2Vw2oexco9NUTkZyJfeXcFU6EpFbdJHPjADPIj3yQx_6a1PnxreoDDNTo-6Njlz3aR1rJ_SHw_XlovcKAQ&source=gbs_api
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,gwnBvz8pIUMC,17125,2020/06/30,2023/03/30,read,4,182.0,http://books.google.com/books/content?id=gwnBvz8pIUMC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73LCmuAHg1Q78H5lREjc8Em8RFIdKuCWAQ636eWMOqmnm0QGNX7FgbOG6ePB79000LXblPCjDMt8BSKVXAd21-Tw0UwGaCYGhXszqxDYMZI8oktXw9LMlUVgg9S1TuUsLV8TBaS&source=gbs_api
A Portrait of an Artist as a Young Man,James Joyce,C_rPXanc_HAC,11301012,2022/01/04,2022/01/05,read,3,0.0,http://books.google.com/books/content?id=C_rPXanc_HAC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72a5a7poSL9VVJhbzH7wtsY9Zj_RDTEVMV6mItNpM3fVQrh5gn_67X8mo9R8xZcvczu2vrderk0swNGHVHnDoQfqzMQWLC-wfvzaGhSuw0N9nSpTYRRi3twaplDZUY_MJipIWxd&source=gbs_api
If on a Winter's Night a Traveler,Italo Calvino,R9qnfnugEOsC,374233,2022/01/14,2023/05/22,read,3,260.0,http://books.google.com/books/content?id=R9qnfnugEOsC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73Va3tERGqiE4CL4WL7A7KCgMYlUaGoGOQ3WCqcLWB0XNIeBxZOPiTM1d70ai6dTOZ41De6i_8Jwdw_RJVU3TavBFAhVbnlf4WqUFzAJKLwSQ7FqBnRn9pNarqwpZM0970ltpOC&source=gbs_api
Blood Red Snow: The Memoirs of a German Soldier on the Eastern Front,Günter K. Koschorrek,_CHOAwAAQBAJ,815783,2020/06/30,2023/05/06,read,4,320.0,http://books.google.com/books/publisher/content?id=_CHOAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71MZsncn8CHz5_l1L61qCps-hExVIPvCxb1DFzo8sMPFgI4rGbmPJQKp9G9xQqQu9lCDblZO0eaVyq0ZHYEf5vZpvzimEt40i40rW9kPNJdqZ7E5F99N2CuMmnHoP7_LeWD2nt9&source=gbs_api
Fires on the Plain,Shōhei Ōoka,S_VsAQAACAAJ,64492,2022/03/24,2023/03/21,read,4,246.0,
Lanark,Alasdair Gray,p6FaAAAAMAAJ,161037,2023/01/17,2023/02/19,read,4,560.0,http://books.google.com/books/content?id=p6FaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70DpfxaRjgB7wZGhafb9mLQYVKN1prI6RzhSoSfGC6SHvHOZ-DFamHVTQ5TJgbbVg34nswDGkAR-FF_5ibViwrx8I1nrnphOSU9Qbzdba50EMZe0bzs5SFWAV4x6OSeSZBwUuVb&source=gbs_api
Stoner,John  Williams,KHvRCFRnDv4C,166997,2023/02/27,2023/02/28,read,5,288.0,http://books.google.com/books/content?id=KHvRCFRnDv4C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71Wlr6erlFK9gxTZO9JTp9ic-OE3VuZLg9xFoL2XWcoZ7wZjIMK1ITz5ifuOWDMhdd9GyXgv5ECBynUCuE1gPV2wxFu4i97JaIVKl5EJ_y1iJyrvsd-s8zTIHI6YRE2hJmLxMLL&source=gbs_api
How We Learn: Why Brains Learn Better Than Any Machine . . . for Now,Stanislas Dehaene,zpp9zQEACAAJ,46064083,2022/05/10,2022/07/22,read,4,352.0,http://books.google.com/books/content?id=zpp9zQEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73dnBlYkuinZjh3pwTBru8jRsdpCR5B4fEyPv6C3LpzNHO0YVpQvaWN8hXa_AVJvDWX-i4Sb6xKs50LJOm4vph_cKOJNkhdXETnOjaI7pgmLyegugFc17wmKVEmB0NeF9K_Xfwm&source=gbs_api
Steppenwolf,Hermann Hesse,jQSe1QvG4CkC,16631,2022/01/05,2022/07/09,read,3,256.0,http://books.google.com/books/content?id=jQSe1QvG4CkC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73-U92G9ARA9USLa2FpgVeTw0GXKTuVI9AuoYPgKU8Dg6o6obm8IVI3EzphIMe0bCFIcFpfq-wkAu61rmWQxsK8E0-uD8lIx5x12_FMifqHabtbkguSwBYWCOuU_haXtiNtyhxE&source=gbs_api
Factotum,Charles Bukowski,LHjHsNvE0lIC,497199,2022/07/02,2022/07/09,read,3,208.0,http://books.google.com/books/content?id=LHjHsNvE0lIC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72kNs0x9FpujEFulZxxCYnDTnjf3LMylC_3rdrTCq7yOHhse9iJWwEWDusSJ4XhRWnU5DZbHln2bfSCZwwqwDc6bprzGGmO-sqioJG2a9pJV5Ylss-X9Xk_AVRdMbkm5WOma8sX&source=gbs_api
The Magic Mountain,Thomas Mann,JuezAAAAIAAJ,88077,2022/12/07,2023/01/05,read,5,706.0,http://books.google.com/books/content?id=JuezAAAAIAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70l-R-U7Yml8N9gJIclAGpRFeGN7ds27Uzta_ay3QX4NFUlTiN9IbN6xLQp2N6QNe4ydRdRIx_yJ8koPHfzrbtht-So4Zh2gLn_ppkc6vYl1uUkesURqXs08qW5POOeak_BZtqs&source=gbs_api
The Well-Gardened Mind: The Restorative Power of Nature,Sue Stuart-Smith,t8onEAAAQBAJ,42201448,2022/07/05,2023/01/05,read,4,352.0,http://books.google.com/books/publisher/content?id=t8onEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73CbmSNlVhh0TvmmJ3K_QF5EHhTbIpCRkw55H8sTDkW8Z1OytHyM2Ia4vh9yDOi0Fq1LK_0ZuZxDS5-DSL2aVni0esAcEZ1jeUPKmihTCU9IEZm1gkkKteTo0JB0sF1FPEm1yee&source=gbs_api
Utopia,Thomas More,EZajAQAAQBAJ,18414,2023/01/03,2023/01/05,read,4,163.0,http://books.google.com/books/publisher/content?id=EZajAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE70e8-gozfaHXXa1pQCn9UHK6o8FT4NwY7Ik4zYsBjV7RHCcskyANUj5ZXNZ2OHvkBRSKwgGXlGDclNmO2gz8nccYkxgapIGlnQZHrtmU78VxoPGKIcv716wqsj-VBvlqm7pXnwK&source=gbs_api
Kon-Tiki,Thor Heyerdahl,LrbDqE3BuhIC,790171,2022/12/03,2023/01/05,read,4,240.0,http://books.google.com/books/content?id=LrbDqE3BuhIC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72f0Ulf4bakFoJC_auYytGNmHAJ-F5aqluf7kFi5_3q9ikLEXfzpR2sVmilJ68XVN6SiYuxw4PiftIfOo4syz509SXvppHCmE9UCH8mECQHNXy72H8B8kfeZaSpKT7a5zdIUGbP&source=gbs_api
The Metamorphosis and Other Stories,Franz Kafka,Tad1oLd1NHUC,7723,2022/01/17,,read,3,224.0,http://books.google.com/books/content?id=Tad1oLd1NHUC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70Tq-6wKDfoc6GtNz9w0k0iyo4SkZ0DnzQk5Yh02n8BW76dsaMyGtM-bGlSBlmMeDkaTmc1FgsLkxZBii9AlnhzngCuyrKlPKVWHi1JxwXo__KKXGqxa2WBRr4zzNNm3ccL5Dr7&source=gbs_api
Hollywood (Spanish Edition),Charles Bukowski,C8DgDwAAQBAJ,38505,2022/07/09,2022/08/01,read,3,320.0,http://books.google.com/books/publisher/content?id=C8DgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73XKgJULbAl6_tBe64RhsQaosD0PnBMYxhjnM7k16k-FpQCK6FQF0MW_r3JMZkAoEgiLd_pZRQbw-PWh75M2I1hD5mxc32jUQBxkFLy2RTO1m9Tce02NYwxw047D303kvaXmtnt&source=gbs_api
"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,4QRuDwAAQBAJ,41433634,2022/07/03,2022/12/21,read,4,415.0,http://books.google.com/books/publisher/content?id=4QRuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70rMu3w9E-gXdsz79NdA_z8ELx5QpnAGGVH8MduPpmnjqfCW2je5iDSoCYOa4XRscUxPhHvvzGR8he9NV5t1fKq5ivdtA3t6W_0sF_hDw1RmgvN9foVz94FZeWtUCERD9TCCowc&source=gbs_api
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,xn83DwAAQBAJ,35696171,2022/07/07,2022/08/01,read,4,576.0,http://books.google.com/books/publisher/content?id=xn83DwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70TvRWpduRvyRLhczxW5hey4mkaYuYgN0GEeyEneXixv1GY4fTbtIutH-GKR9HI3Q14daUwcNYq0bdkl3Pf9fep6eWFvWbCYx-zePvSRJ4H7vXQ9OjCrDua6pt07QxEpexoKO3R&source=gbs_api
"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,,35074096,2022/07/03,2022/08/11,read,4,416.0,"Error fetching thumbnail for 'Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)'"
Pale Fire,Vladimir Nabokov,MIzUSDvML0kC,7805,2022/11/20,2022/12/03,read,3,246.0,http://books.google.com/books/content?id=MIzUSDvML0kC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE733ZuNKE2O3fk6gT26XiI-8skFVfSzOndwquPnqadABIC8Otv1GgxUv2a8HD5w4ES8S2lPuAu089_jRcjLKkbXAqX2XF15t4H42trL3-KxBuE8PWGpEYG1MqlFHXhEDDbVOfM41&source=gbs_api
How Emotions Are Made: The Secret Life of the Brain,Lisa Feldman Barrett,mA4iDgAAQBAJ,23719305,2022/06/02,2022/12/03,read,3,425.0,http://books.google.com/books/publisher/content?id=mA4iDgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70uT6Gmbn38ZX--6GpdjoU3bKvmnmtFibLyaMDIYfK-KJUaSAgXU0RZTyBQbyX679_aIHfBbux_0YKAix1XzYNqX9RMAoGZceiNstt7jNsAsQ3qy6ILWfsJsdi6PDC4IKzF1OG0&source=gbs_api
"Ideas: A History of Thought and Invention, from Fire to Freud",Peter Watson,CVNoJydnGAoC,408204,2022/08/05,2022/11/23,read,5,852.0,http://books.google.com/books/content?id=CVNoJydnGAoC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70b9e0Ro0wRFv0k4QuXOG_lMRjqfy3ha4PEvSIBj4k0CjqRjfbmystWwZfurWIBLeJRK8H4yQbcENwNefutMUyE1U9rciZNsLAQKw_XphlBXxAShDsz_PX1Wuzj8Q_CyYC0iDay&source=gbs_api
The Body: A Guide for Occupants,Bill Bryson,856DDwAAQBAJ,43582376,2022/07/03,2022/11/20,read,4,450.0,http://books.google.com/books/publisher/content?id=856DDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72MVF0BxGM79kr26pie_fIYuSap0RsQvoJKn8SYyqIxooW2zJAfgsaWe35WJJOwdZwhAYJHiro8XT4Zkr-4kZm12qiymzSX0gW34MOUEoRIFukQsoWRrP3DaaXey3I7m_PTJ3zz&source=gbs_api
Of Time and the River: A Legend of Man's Hunger in His Youth,Thomas Wolfe,yyLmEAAAQBAJ,12451,2022/01/05,2022/11/20,read,5,896.0,http://books.google.com/books/publisher/content?id=yyLmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE70oHtzKGmX71SKvp0aVvwodPx_6Fjb5mP6jEhkLiXXi9D-FGjZ9kPY-iN2DvY2FIaURRYj7Hmzd9PTg64hQAtjZUFCp1J5Qh0urIdePVctLXPJnWde_EyC3sjQYy35J7UTEELBZ&source=gbs_api
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,FMPdAgAAQBAJ,18693771,2022/04/06,2022/10/13,read,5,464.0,http://books.google.com/books/publisher/content?id=FMPdAgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72S5b_XMmJfV-s1FcSb3dXWqBPLNL0yiIk17JUFJZNESxONx0RBZ43E885iLHTijh5PEGqZrGdzyB2JYaVD5hYaog3_5_0FReGCLne0R5HfsUSlOm813qvYPjjyIsn7bY7gnVq2&source=gbs_api
The Unwomanly Face of War: An Oral History of Women in World War II,Svetlana Alexievich,VhUTDgAAQBAJ,32905382,2022/10/03,2022/10/09,read,4,331.0,http://books.google.com/books/publisher/content?id=VhUTDgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE7240YJV_GQpbZnWQFZzLwfoFjJ8qkwlxEAu-09QoIqusPZhT0CCXpFA9JrtFYQGTQELVn12OX8cqbrXwR-uKAwT8637F5gVX0rx7h3PO7ki_E0kkAMDnpm1gbaiSbRq_IVLZwUn&source=gbs_api
Stalingrad,Vasily Grossman,Z9FnDwAAQBAJ,42194293,2022/09/26,2022/10/03,read,4,1088.0,http://books.google.com/books/publisher/content?id=Z9FnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70OVJG20rd-jPV8BqodDAa27-eU-1QB7akWyx7R-ah0hkShJzhNNO0h4ySDLdg9R16teFrbDBIrR4M0G0_0Z7VUP2Nl_4KlCzsgdB_MZp7hmJWbM1NfYOotbqcFrfE8CdAbzuWl&source=gbs_api
Matterhorn,Karl Marlantes,71tAAQAAIAAJ,6411016,2022/04/05,2022/09/26,read,5,663.0,http://books.google.com/books/content?id=71tAAQAAIAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72fRrD3LFw1i3QmpDf2eaAT-QKMC3vSs5SAPINQjJjj24cUTQsFrY_hp8eX6dVICikLtD_TYzDlmLPC2e0lCo_MkQeuDr2AQt9W51vl57mj4mz6KTW2K7GSQp_g8B-s9ExPukYA&source=gbs_api
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,Bruce D. Perry,WW5uDgAAQBAJ,129909,2022/08/25,2022/09/06,read,4,288.0,http://books.google.com/books/publisher/content?id=WW5uDgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE704GEv33tvJDfgmUSbaxxy8Z_jJmtYuWEBHrbjRPQo7ewaj389eesSXRLPhVPBfyHx9h6Ipkth_aZLk_Cg45t6S1dLiEnRiIOdScRT5YlIw2UK9Cd-Q4_tWAQSmk_spbu04OMPk&source=gbs_api
"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,YDtYEAAAQBAJ,53487237,2022/07/12,2022/09/06,read,4,403.0,http://books.google.com/books/publisher/content?id=YDtYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70od59XnMGX29qlRT0cUbXcUA1BxD8IHbIipgexaSWbPJOP7YiBCN5qivulMZS6OxwNkJ5IaYajmzO5LM6ZtEMWLydhtEeFLQv5cSQQJ00F1-OAN4e5MjJ5xqKt9Y4-tS7YAFJ-&source=gbs_api
A History of the World in 100 Objects,Neil MacGregor,r3mUtaSxCncC,9553383,2022/08/24,2022/09/06,read,5,707.0,http://books.google.com/books/content?id=r3mUtaSxCncC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE702-BPXJ6Re_gaYvEYvARb37U8jWeLaLYXhKw323jF1YFK7kj5OH8HSFYb6_DvUdwAUI2Sh88RTXB_VOFhpNHOZrkq8W72XXeCWk6mQKAzHTmuIEy4X9B5Lmr4yrmGfjaosrPEi&source=gbs_api
Depends What You Mean By Extremist,John Safran,JGdoDwAAQBAJ,34346697,2022/09/06,2022/09/11,read,4,304.0,http://books.google.com/books/publisher/content?id=JGdoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72p5_-KLKUzxnlOhM3tHQ1mbtNIOqMsTxtD3FzQois620__xs061xWpmcnpfVE6P4X7iQfmlt2KC2JUVDpTTbS5kp_Cvj17nw5AR0D4AeWSelmFhOUc3Rg37VPlIc3phs_imFoq&source=gbs_api
Inventing the Individual: The Origins of Western Liberalism,Larry Siedentop,HA4TDgAAQBAJ,18740986,2022/11/22,2023/01/11,read,4,416.0,http://books.google.com/books/publisher/content?id=HA4TDgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73eUyTq0Q_Y4PLs3xPDe1ILy_-ec4HWEYNroeEI6YPn1OqCmZ1jyjE17sfwVhxr50y2CwFQsfvCCs8rftPp47Z9U5Fr-Hulu1wi7-ujOUalj5-8A_143jDBZdqgiXNG2YV8wp0n&source=gbs_api
Butcher's Crossing,John  Williams,lIsdDAAAQBAJ,457228,2023/02/27,2023/03/12,read,4,274.0,http://books.google.com/books/publisher/content?id=lIsdDAAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71DIiR5weH2gXS-dBQpE0oeqpJvPMjGjuo41gIyZYXBPb96LdqNB8Lv4zUEIesKIJ1rMT0n_lIwUzzYK6vR-I4DdzcTWvA9F5I3_t-vZ1fsT741afWEHqP6dZ-8oO6Q_-RAa5wV&source=gbs_api
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,lbgAsJi1plwC,570172,2022/03/28,2022/07/09,read,4,427.0,http://books.google.com/books/content?id=lbgAsJi1plwC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71gaZZdoAoHBH_hTKmSt4wEkCMfgttOPoJRsiMNLF01qJuwbNMlcC2sjWtrs0tUWNlSBkksckz1flsiRaMEuvCDgsNF6J3pYNYJMr_WA5ij2rW4EKUR1SluL0E7pn10eOx1LZ48&source=gbs_api
Ham on Rye,Charles Bukowski,xlLZYtirey0C,38501,2022/06/27,2022/07/02,read,4,288.0,http://books.google.com/books/content?id=xlLZYtirey0C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70tAUwpSbRlkQtsapmgDVCqCjojDKiI1WLia5J7LR0Nk57_vySJthUadcHN8Hv-gOyLAsSxPTVmzTKp4p_jYUmupYKIaXgfgfg7jASb6xz14oBgo_b-4u-QCs_xw9TGxplny6o7&source=gbs_api
Jack Kerouac,Ann Charters,AIwEAQAAIAAJ,12387609,2023/02/16,2023/02/22,read,5,,http://books.google.com/books/content?id=AIwEAQAAIAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73AV_HIBV_5GxVashzyw4Se6D4OLYk-T63wht7vNPhRzTnXLmpKNCGaXBNEGBs8cb6_sEZypHaeiFUpECTe8CpY5XNVgIJWQ1twX6sDyLNqyxHMZSqqQnBhv0wH6S3AFtt8R84v&source=gbs_api
