title,author,googleid,goodreads_id,start date,end date,read status,rating,pages,thumbnail_url
On the Road,Jack Kerouac,jb_yfcu8KwUC,70401,2021/03/30,,read,5,307.0,http://books.google.com/books/content?id=jb_yfcu8KwUC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73yhrfLPYqSGALCJE22Sb833QvreNCLOKwkClVNfUps52apofSUpFgmYfPvysLpMtYssqDmEHFxtdZvQdkKxr506ER-x-_-PnrtPFhtYcbmpcpl3MMsXPWm8vbzvBcjxnc9PlRO&source=gbs_api
Thirst for Love,Yukio Mishima,1YbeTHJDKykC,62801,2021/02/10,,read,2,200.0,http://books.google.com/books/content?id=1YbeTHJDKykC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71npO_oIj9aZ8UpX8jYAlWxan2UyZ4SdPwGRATQujbq1vDi4mHH8PGM9pDT1NiEdOXaeQj4whTmmYRXaZ7de4cNFwbcf1RK3_ygMLTnPesqoXITXkZ1l6qCYDktSHQnCL3TvUkK&source=gbs_api
All Things Shining: Reading the Western Classics to Find Meaning in a Secular Age,Hubert L. Dreyfus,7vS2y-mQmpAC,10087892,2023/04/17,2023/07/27,read,3,272.0,http://books.google.com/books/content?id=7vS2y-mQmpAC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72LUp-pXaX2M3rezPmPYhlfQjP-DzwOaNM40ONOuerwOGaeokue3ypm6QWHTW1Ssskn6MDzXp6k-d184-w017PLs5TuWpaMaXaqJuEtNilLXYamf3FXafr517hcaHx-GIBzf_Aj&source=gbs_api
Existentialism is a Humanism,Jean-Paul Sartre,IfNqvQXbuk8C,51985,2021/02/10,,read,4,122.0,http://books.google.com/books/content?id=IfNqvQXbuk8C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73aeA9clwg-PnB5pTNboWIffdkTEEjdZ1PE9u6HB1WD0OVC844rXRjADEl8GKNgGrWVzhU_yJl88pLIgUR0L3z8ilJ5bp8AweHfK6_xhcCzSSQAndLJCDQD7Duo45ch5yOol-W3&source=gbs_api
The Stranger,Albert Camus,35VcAAAAMAAJ,49552,2020/06/30,,read,3,159.0,http://books.google.com/books/content?id=35VcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73Lp3-AYlDZxCbTb06gPM6wxefPlbYs0bmvLr3PtRTWlTPW4ywhd0pDbgyc-P_3sQDiXdmWRZjla4KdsSboIyqd86IKwjhCetmZ9Q_Zgl38PvxKS8cQoXNk5VbE8NmA2KuAivnG&source=gbs_api
Chickenhawk,Robert Mason,kYPC4HqsCLwC,63699,2022/10/06,2023/07/23,read,4,512.0,http://books.google.com/books/content?id=kYPC4HqsCLwC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72FI7_Fem3893hK9-05wu9VwW3LNHcBDX5pLg7ycuwrytZzyjFg_bAOLqn2jEFX4mCpl2YSI9KT_0QAMLuF7fbIQEYVumxnUeacrpV5zVSrT5Z17NmcT9_vjOXB8PR_QbFnchiO&source=gbs_api
"Dune (Dune, #1)",Frank Herbert,q_5WzQEACAAJ,44767458,2021/02/10,,read,3,658.0,http://books.google.com/books/content?id=q_5WzQEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71J0JaWhK1JkzRFm79qRXdxiMzN_is12a4T2yEEHUPQzPiDeBASXbAJgXQs1CWQJIh90rkLupQPAjDivcs3s4MkIcuHdf0J0VD68K0sTYFYFfR4GB60-t4b6Lq-28ndnFgYgl-2&source=gbs_api
The Myth of Mental Illness: Foundations of a Theory of Personal Conduct,Thomas Szasz,oXebZQZwLHYC,706525,2021/02/10,,read,3,320.0,http://books.google.com/books/content?id=oXebZQZwLHYC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70TlJCOZ4r-luZxuHjCPsohv5_RPS1C-edACl7k4YqTVTAai5V_QGvcvmue8jzIxxu5oHmdvc6v46uHxCrwGpNHCBkOPHvSzkvQBJf3kNhoAwCgLDR2ky-6cy9HnHa8TasBbr4I&source=gbs_api
Of Mice and Men,John Steinbeck,09wCs_QXKXkC,890,2021/02/10,,read,4,107.0,http://books.google.com/books/content?id=09wCs_QXKXkC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73s5KduFhR89mMwShni2aVrjenef9xGJG_Z6ZE7wNTwD1Tuyfq2J3o739qsCzhW-EITakA-TGtdjEbS5PrQ_PRj86K384mMB_44sKH19gJ79dyb-9CaVgDHFjW8zQUfgW9RmqWG&source=gbs_api
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,s-QzccStux4C,394535,2023/09/22,2023/10/02,read,4,351.0,http://books.google.com/books/content?id=s-QzccStux4C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73LUcHcNvMHxl4ZUoTWk1JQ4WntQhHJ08___GW7B-pLhbxPzeZvxcijmxIiBkFkSk1JVLKxUPeJHaf_OFQExnHsQUN7WxMtrv9BA6_8YClTe39vUVV_9ITTOBe39OQTU9NQbVtb&source=gbs_api
Nausea,Jean-Paul Sartre,CGbBbtDOZbwC,298275,2021/02/10,,read,1,178.0,http://books.google.com/books/content?id=CGbBbtDOZbwC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE7117uKByl5-RfQmiCQycHBXw3ngUdxa-mRiuxhMbnFOxpWEarC14_wjQ7GqfMpsKmqqQBryNPJjyGabbwIpKzc4GsiZk8Zwqz8UhZkBUo4JLMT8Ju3J-VjW-rO-m65z4y2qnL3n&source=gbs_api
Cognitive Behavioral Therapy: Techniques for Retraining Your Brain,Jason M. Satterfield,74QBswEACAAJ,39067892,2023/07/16,2023/07/24,read,4,,
