Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
92417,The Thin Red Line,James Jones,"Jones, James",,"=""0340717521""","=""9780340717523""",3,3.99,Sceptre,Paperback,475,1998,1962,2022/03/09,2020/06/30,,,read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",3,4.34,Doubleday,Hardcover,720,2015,2015,2022/03/03,2022/02/09,,,read,,,,1,0
46164,Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Amor Towles,"=""""","=""""",3,3.79,Scribner,Paperback,430,1995,1934,2022/02/07,2022/01/05,,,read,,,,1,0
1533656,Wake in Fright,Kenneth Cook,"Cook, Kenneth",,"=""185375482X""","=""9781853754821""",0,3.98,Prion,Paperback,174,2002,1961,,2022/01/16,to-read,to-read (#39),to-read,,,,0,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",3,3.86,Bantam Classics,Paperback,201,1972,1915,,2022/01/05,,,read,,,,1,0
41954426,The History of Philosophy,A.C. Grayling,"Grayling, A.C.",,"=""0241304539""","=""9780241304532""",5,4.07,Viking / Penguin,Hardcover,704,2019,2019,2022/01/16,2022/01/04,,,read,,,,1,0
11577463,Straight and Crooked Thinking,Robert H. Thouless,"Thouless, Robert H.",C.R. Thouless,"=""""","=""""",0,3.76,Teach Yourself,Kindle Edition,174,2011,1930,,2022/01/16,to-read,to-read (#38),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",5,4.41,Penguin Books,Paperback,601,2002,1952,2022/01/16,2022/01/04,,,read,,,,1,0
35743,The Tin Drum,Günter Grass,"Grass, Günter",Ralph Manheim,"=""0099483505""","=""9780099483502""",0,3.95,Vintage,Paperback,580,2005,1959,,2022/01/14,to-read,to-read (#37),to-read,,,,0,0
52978240,Wild Policy: Indigeneity and the Unruly Logics of Intervention (Anthropology of Policy),Tess Lea,"Lea, Tess",,"=""1503612678""","=""9781503612679""",0,4.38,Stanford University Press,Paperback,,2020,,,2022/01/12,to-read,to-read (#36),to-read,,,,0,0
192221,"How to Solve It: A New Aspect of Mathematical Method (Princeton Science Library, 34)",G. Pólya,"Pólya, G.",John H. Conway,"=""069111966X""","=""9780691119663""",0,4.14,Princeton University Press,Paperback,288,2015,1944,,2022/01/12,to-read,to-read (#35),to-read,,,,0,0
52879286,Humankind: A Hopeful History,Rutger Bregman,"Bregman, Rutger","Elizabeth Manton, Erica Moore","=""0316418536""","=""9780316418539""",0,4.33,"Little, Brown and Company",Hardcover,462,2020,2019,,2022/01/12,to-read,to-read (#34),to-read,,,,0,0
22232098,Economics: The User's Guide: A Pelican Introduction,Ha-Joon Chang,"Chang, Ha-Joon",,"=""""","=""""",4,4.16,Pelican,Kindle Edition,528,2014,2014,,2022/01/09,,,read,,,,1,0
85812,Dialectic of Enlightenment: Philosophical Fragments,Theodor W. Adorno,"Adorno, Theodor W.","Max Horkheimer, Gunzelin Schmid Nörr, Edmund Jephcott","=""0804736332""","=""9780804736336""",0,4.11,Stanford University Press,Paperback,304,2007,1947,,2022/01/08,to-read,to-read (#33),to-read,,,,0,0
135479,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0140285601""","=""9780140285604""",0,4.16,Penguin,Paperback,179,1999,1963,,2022/01/08,to-read,to-read (#32),to-read,,,,0,0
375013,Schindler's List,Thomas Keneally,"Keneally, Thomas",,"=""0340606517""","=""9780340606513""",0,4.34,Sceptre,Paperback,429,1994,1982,,2022/01/08,to-read,to-read (#31),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,4.29,Penguin Classics,Paperback,1276,2003,1844,,2022/01/08,to-read,to-read (#30),to-read,,,,0,0
1381,The Odyssey,Homer,"Homer, Homer","Bernard Knox, Robert Fagles","=""0143039954""","=""9780143039952""",0,3.80,Penguin Classics ,Paperback,541,2006,-700,,2022/01/08,to-read,to-read (#29),to-read,,,,0,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.43,Riverhead Books,Hardcover,372,2007,2007,,2022/01/08,to-read,to-read (#28),to-read,,,,0,0
1875,"The History of Sexuality, Volume 1: An Introduction",Michel Foucault,"Foucault, Michel",,"=""0679724699""","=""9780679724698""",0,4.02,Vintage,Paperback,176,1990,1976,,2022/01/08,to-read,to-read (#27),to-read,,,,0,0
40656712,"Rabbit, Run (Rabbit Angstrom, #1)",John Updike,"Updike, John",,"=""""","=""""",0,3.58,Random House,Kindle Edition,337,2010,1960,,2022/01/06,to-read,to-read (#26),to-read,,,,0,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",0,4.26,IT Revolution Press,Hardcover,345,2013,2013,,2022/01/05,to-read,to-read (#25),to-read,,,,0,0
11301012,A Portrait of an Artist as a Young Man,James Joyce,"Joyce, James","Roger Marsh, Jim Norton","=""5552956508""","=""9785552956500""",3,3.63,Naxos of America Inc.,Audio CD,0,1995,1916,2022/01/05,2022/01/04,,,read,,,,1,0
271495,To Engineer Is Human: The Role of Failure in Successful Design,Henry Petroski,"Petroski, Henry",,"=""0679734163""","=""9780679734161""",0,3.69,Vintage,Paperback,251,1992,1985,,2022/01/05,to-read,to-read (#24),to-read,,,,0,0
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,4.21,Penguin Books,Paperback,112,2000,1929,,2022/01/05,to-read,to-read (#23),to-read,,,,0,0
740472,Dj-Culture,Ulf Poschardt,"Poschardt, Ulf",,"=""0704380986""","=""9780704380981""",0,3.95,Quartet Books Ltd,Paperback,480,2000,1997,,2022/01/05,to-read,to-read (#22),to-read,,,,0,0
6346824,Carl Jung - Dreams and Philosophy (Biography),Biographiq,"Biographiq, Biographiq",,"=""1599860775""","=""9781599860770""",0,4.24,Biographiq,Paperback,56,2008,2008,,2022/01/05,to-read,to-read (#21),to-read,,,,0,0
22435,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,"Greene, Brian",,"=""0965900584""","=""9780965900584""",0,4.12,Alfred Knopf,Paperback,569,2004,2004,,2022/01/05,to-read,to-read (#20),to-read,,,,0,0
11990,The Rebel,Albert Camus,"Camus, Albert",,"=""0679733841""","=""9780679733843""",0,4.14,Vintage,Paperback,320,1992,1951,,2022/01/05,to-read,to-read (#19),to-read,,,,0,0
3925199,The Naked Lunch,William S. Burroughs,"Burroughs, William S.",,"=""3548028438""","=""9783548028439""",0,3.46,Olympia Press,Paperback,238,1959,1959,,2022/01/05,to-read,to-read (#18),to-read,,,,0,0
