title,author,googleid,goodreads_id,start date,end date,read status,rating,pages
The Sun Also Rises,Ernest Hemingway,BihiEAAAQBAJ,3876,2020/06/30,,read,3,189.0
This One Wild and Precious Life: A Hopeful Path Forward in a Fractured World,Sarah Wilson,6WvqDwAAQBAJ,54112488,2021/02/10,,read,4,368.0
Animal Farm,George Orwell,zsF8xwh6N_MC,170448,2020/06/30,,read,5,128.0
Brave New World,Aldous Huxley,TIJ5EAAAQBAJ,5129,2020/06/30,,read,5,268.0
Catch-22,Joseph Heller,Xfze51E7TEoC,168668,2020/06/30,,read,5,453.0
I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,DvSlDwAAQBAJ,40591670,2023/11/07,2023/12/08,read,4,352.0
A Farewell to Arms,Ernest Hemingway,Z-FSAgAAQBAJ,10799,2020/06/30,,read,4,293.0
Notes from Underground,Fyodor Dostoevsky,mtcKAQAAMAAJ,49455,2020/06/30,,read,4,136.0
All Quiet on the Western Front,Erich Maria Remarque,Ubk7YzNZGQUC,355697,2020/06/30,,read,4,296.0
The Psychology of Money,Morgan Housel,5HrrDwAAQBAJ,41881472,2023/10/05,2023/11/16,read,4,252.0
Storm of Steel,Ernst Jünger,q-LjDQAAQBAJ,240485,2020/06/30,,read,5,289.0
The Rum Diary,Hunter S. Thompson,c5tMZGbhCkEC,18864,2020/06/30,,read,5,224.0
The Beach,Alex Garland,mSZDPuxde6QC,607639,2020/06/30,,read,5,436.0
Principles For Dealing With the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,AifhDwAAQBAJ,52962238,2023/10/05,2023/11/14,read,4,576.0
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4QXnYRaBUFAC,38447,2020/06/30,,read,3,314.0
Attention Factory: The Story of TikTok & China’s ByteDance,Matthew  Brennan,BewAzgEACAAJ,55666294,2023/10/08,2023/11/05,read,3,304.0
The Grapes of Wrath,John Steinbeck,TdhaZ6xEaBYC,18114322,2020/06/30,,read,5,479.0
Slaughterhouse-Five,Kurt Vonnegut Jr.,Gc_SLksZVB4C,4981,2020/06/30,,read,3,275.0
We,Yevgeny Zamyatin,-RSyEAAAQBAJ,76171,2020/06/30,,read,3,226.0
"Valley of Genius: The Uncensored History of Silicon Valley (As Told by the Hackers, Founders, and Freaks Who Made It Boom)",Adam  Fisher,HUc5DwAAQBAJ,36382335,2023/09/28,2023/10/22,read,4,512.0
Fahrenheit 451,Ray Bradbury,OYtkbGl2j0sC,13079982,2020/06/30,,read,5,194.0
The Catcher in the Rye,J.D. Salinger,mZunDwAAQBAJ,5107,2020/06/30,,read,4,234.0
The Forgotten Soldier,Guy Sajer,_8QUlpa3O4EC,102305,2020/06/30,,read,5,465.0
The Idiot,Fyodor Dostoevsky,5fyuj9x9UZIC,12505,2020/06/30,,read,3,667.0
Lolita,Vladimir Nabokov,S0lVyYcw8tsC,7604,2020/06/30,,read,3,368.0
Junky,William S. Burroughs,2CvEs2xybZ4C,23940,2020/06/30,,read,3,166.0
The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,1zYGEAAAQBAJ,172732,2021/02/10,,read,3,175.0
The Road,Cormac McCarthy,fwMuvZo1HEAC,6288,2020/06/30,,read,4,241.0
The Stand,Stephen King,UbfnTcmkaKkC,149267,2021/02/10,,read,5,1152.0
The Communist Manifesto,Karl Marx,5BpiEAAAQBAJ,30474,2021/02/10,,read,2,288.0
The Road to Wigan Pier,George Orwell,Sq9fEAAAQBAJ,30553,2021/02/10,,read,4,215.0
Man's Search for Meaning,Viktor E. Frankl,RMqMDQAAQBAJ,4069,2021/02/10,,read,4,165.0
The Sorrow Of War: A Novel of North Vietnam,Bảo Ninh,ZKBIfMLVMHsC,780889,2021/02/10,,read,5,233.0
The Consolation of Philosophy,Boethius,X5UoAwAAQBAJ,31837,2022/01/05,2022/09/06,read,3,155.0
"The Age of Reason (Roads to Freedom, #1)",Jean-Paul Sartre,SjUQeFHY2_4C,10034,2021/02/10,,read,1,416.0
The Plague,Albert Camus,7_Blv5sqceoC,11989,2022/01/05,2023/08/16,read,3,308.0
No Excuses: Existentialism and the Meaning of Life,Robert C. Solomon,8tVSPgAACAAJ,25517245,2023/07/30,2023/08/20,read,4,13.0
Hiroshima,John Hersey,SIiVDwAAQBAJ,27323,2022/01/05,2023/08/21,read,4,152.0
The Motivation Manifesto: 9 Declarations to Claim Your Personal Power,Brendon Burchard,C3_EBQAAQBAJ,22891629,2021/02/10,,read,4,236.0
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,M69poeV1UhoC,629,2021/02/10,,read,4,540.0
The Consolations of Philosophy,Alain de Botton,e5b5GrNtMrQC,23419,2021/02/10,,read,5,265.0
Waiting For The Man: Story of Drugs and Popular Music,Harry Shapiro,h8s4AQAAIAAJ,2214668,2021/02/10,,read,5,256.0
